Name,State,Party,Score,Lifetime Score,Postal Service Reform Act (H.R. 3076),"Nomination of David Weil to be Administrator of the Wage and Hour Division, DOL",COVID Supplemental Appropriations Act (H.R. 4373),Nomination of Judge Ketanji Brown Jackson to the United States Supreme Court,Federal Reserve Nominations of Dr. Lisa DeNell Cook,Federal Reserve Nomination of Dr. Philip Jefferson (173),CHIPS and Science Act (H.R. 4346),Inflation Reduction Act (H.R. 5376),Lisa M. Gomez Assistant Secretary for the Employee Benefits Security Administration (EBSA) at the U.S. Department of Labor,Respect for Marriage Act (H.R. 8404),Rail Workers Sick Leave (H.Con.Res. 119),Consolidated Appropriations Act of 2023 (H.R. 2617)
Sen. Ben Sasse,NE,Republican,18%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Margaret Hassan,NH,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jeanne Shaheen,NH,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Cory Booker,NJ,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Robert Menendez,NJ,Democrat,100%,97%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Martin Heinrich,NM,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Ben Ray Luján,NM,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Catherine Cortez Masto,NV,Democrat,100%,100%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jacky Rosen,NV,Democrat,100%,92%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Kirsten E. Gillibrand,NY,Democrat,100%,96%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Charles E. Schumer,NY,Democrat,92%,95%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Sherrod Brown,OH,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Rob Portman,OH,Republican,45%,25%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. James M. Inhofe,OK,Republican,18%,12%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. James Lankford,OK,Republican,8%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jeff Merkley,OR,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Ron Wyden,OR,Democrat,92%,92%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Bob Casey,PA,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Patrick J. Toomey,PA,Republican,10%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Jack Reed,RI,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Sheldon Whitehouse,RI,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Lindsey Graham,SC,Republican,45%,24%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tim Scott,SC,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mike Rounds,SD,Republican,25%,20%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Thune,SD,Republican,25%,15%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Marsha Blackburn,TN,Republican,8%,6%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Bill Hagerty,TN,Republican,18%,11%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Cornyn,TX,Republican,25%,15%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Ted Cruz,TX,Republican,17%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mike Lee,UT,Republican,9%,8%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mitt Romney,UT,Republican,42%,34%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tim Kaine,VA,Democrat,100%,93%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Mark Warner,VA,Democrat,100%,90%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Patrick J. Leahy,VT,Democrat,100%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Bernard Sanders,VT,ID,91%,98%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Maria Cantwell,WA,Democrat,100%,94%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Patty Murray,WA,Democrat,100%,95%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Tammy Baldwin,WI,Democrat,100%,99%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Ron Johnson,WI,Republican,9%,10%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Shelley Moore Capito,WV,Republican,42%,30%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Joe Manchin III,WV,Democrat,82%,87%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. John Barrasso,WY,Republican,18%,12%,?,?,?,?,?,?,?,?,?,?,?,?
Sen. Cynthia M. Lummis,WY,Republican,25%,9%,?,?,?,?,?,?,?,?,?,?,?,?
