"name","state","district","party","score","lifetime_score","chamber"
"Rep. Rick Larsen","WA",2,"Democrat",100,94,"House"
"Rep. Jaime Herrera Beutler","WA",3,"Republican",31,21,"House"
"Rep. Dan Newhouse","WA",4,"Republican",8,25,"House"
"Rep. Cathy McMorris Rodgers","WA",5,"Republican",0,11,"House"
"Rep. Derek Kilmer","WA",6,"Democrat",100,95,"House"
"Rep. Pramila Jayapal","WA",7,"Democrat",100,96,"House"
"Rep. Kim Schrier","WA",8,"Democrat",100,100,"House"
"Rep. Adam Smith","WA",9,"Democrat",100,96,"House"
"Rep. Marilyn Strickland","WA",10,"Democrat",100,100,"House"
"Rep. Bryan Steil","WI",1,"Republican",0,15,"House"
"Rep. Mark Pocan","WI",2,"Democrat",100,98,"House"
"Rep. Ron Kind","WI",3,"Democrat",100,90,"House"
"Rep. Gwen Moore","WI",4,"Democrat",100,97,"House"
"Rep. Scott Fitzgerald","WI",5,"Republican",8,3,"House"
"Rep. Glenn Grothman","WI",6,"Republican",8,10,"House"
"Rep. Tom Tiffany","WI",7,"Republican",8,8,"House"
"Rep. Mike Gallagher","WI",8,"Republican",9,11,"House"
"Rep. David McKinley","WV",1,"Republican",56,42,"House"
"Rep. Alex Mooney","WV",2,"Republican",0,11,"House"
"Rep. Carol Miller","WV",3,"Republican",0,18,"House"
"Rep. Liz Cheney","WY",0,"Republican",31,15,"House"
"Sen. Lisa Murkowski","AK",NA,"Republican",45,39,"Senate"
"Sen. Dan Sullivan","AK",NA,"Republican",27,21,"Senate"
"Sen. Richard C. Shelby","AL",NA,"Republican",17,17,"Senate"
"Sen. Tommy Tuberville","AL",NA,"Republican",0,6,"Senate"
"Sen. John Boozman","AR",NA,"Republican",17,14,"Senate"
"Sen. Tom Cotton","AR",NA,"Republican",17,11,"Senate"
"Sen. Mark Kelly","AZ",NA,"Democrat",92,97,"Senate"
"Sen. Kyrsten Sinema","AZ",NA,"Democrat",92,83,"Senate"
"Sen. Dianne Feinstein","CA",NA,"Democrat",100,94,"Senate"
"Sen. Alex Padilla","CA",NA,"Democrat",100,100,"Senate"
"Sen. Michael Bennet","CO",NA,"Democrat",100,93,"Senate"
"Sen. John Hickenlooper","CO",NA,"Democrat",100,100,"Senate"
"Sen. Richard Blumenthal","CT",NA,"Democrat",100,99,"Senate"
"Sen. Christopher S. Murphy","CT",NA,"Democrat",100,99,"Senate"
"Sen. Thomas R. Carper","DE",NA,"Democrat",100,89,"Senate"
"Sen. Christopher A. Coons","DE",NA,"Democrat",100,94,"Senate"
"Sen. Marco Rubio","FL",NA,"Republican",18,11,"Senate"
"Sen. Rick Scott","FL",NA,"Republican",0,9,"Senate"
"Sen. Jon Ossoff","GA",NA,"Democrat",100,100,"Senate"
"Sen. Raphael Warnock","GA",NA,"Democrat",100,100,"Senate"
"Sen. Mazie K. Hirono","HI",NA,"Democrat",100,100,"Senate"
"Sen. Brian Schatz","HI",NA,"Democrat",100,99,"Senate"
"Sen. Joni Ernst","IA",NA,"Republican",25,18,"Senate"
"Sen. Charles E. Grassley","IA",NA,"Republican",17,18,"Senate"
"Sen. Michael D. Crapo","ID",NA,"Republican",8,12,"Senate"
"Sen. Jim Risch","ID",NA,"Republican",8,10,"Senate"
"Sen. Tammy Duckworth","IL",NA,"Democrat",100,99,"Senate"
"Sen. Richard J. Durbin","IL",NA,"Democrat",100,98,"Senate"
"Sen. Mike Braun","IN",NA,"Republican",8,14,"Senate"
"Sen. Todd Young","IN",NA,"Republican",42,14,"Senate"
"Sen. Roger Marshall","KS",NA,"Republican",17,15,"Senate"
"Sen. Jerry Moran","KS",NA,"Republican",36,17,"Senate"
"Sen. Mitch McConnell","KY",NA,"Republican",33,17,"Senate"
"Sen. Rand Paul","KY",NA,"Republican",0,10,"Senate"
"Sen. Bill Cassidy","LA",NA,"Republican",27,13,"Senate"
"Sen. John Kennedy","LA",NA,"Republican",27,15,"Senate"
"Sen. Edward J. Markey","MA",NA,"Democrat",100,99,"Senate"
"Sen. Elizabeth Warren","MA",NA,"Democrat",100,99,"Senate"
"Sen. Benjamin L. Cardin","MD",NA,"Democrat",100,98,"Senate"
"Sen. Chris Van Hollen","MD",NA,"Democrat",100,97,"Senate"
"Sen. Susan Collins","ME",NA,"Republican",50,49,"Senate"
"Sen. Angus King","ME",NA,"ID",100,98,"Senate"
"Sen. Gary Peters","MI",NA,"Democrat",100,97,"Senate"
"Sen. Debbie Stabenow","MI",NA,"Democrat",100,97,"Senate"
"Sen. Amy Klobuchar","MN",NA,"Democrat",100,96,"Senate"
"Sen. Tina Smith","MN",NA,"Democrat",100,100,"Senate"
"Sen. Roy Blunt","MO",NA,"Republican",36,18,"Senate"
"Sen. Joshua Hawley","MO",NA,"Republican",17,12,"Senate"
"Sen. Cindy Hyde-Smith","MS",NA,"Republican",10,18,"Senate"
"Sen. Roger Wicker","MS",NA,"Republican",33,18,"Senate"
"Sen. Steve Daines","MT",NA,"Republican",25,17,"Senate"
"Sen. Jon Tester","MT",NA,"Democrat",100,93,"Senate"
"Sen. Richard M. Burr","NC",NA,"Republican",44,17,"Senate"
"Sen. Thom Tillis","NC",NA,"Republican",36,21,"Senate"
"Sen. Kevin Cramer","ND",NA,"Republican",18,21,"Senate"
"Sen. John Hoeven","ND",NA,"Republican",17,18,"Senate"
"Sen. Deb Fischer","NE",NA,"Republican",17,17,"Senate"
"Sen. Ben Sasse","NE",NA,"Republican",18,10,"Senate"
"Sen. Margaret Hassan","NH",NA,"Democrat",100,99,"Senate"
"Sen. Jeanne Shaheen","NH",NA,"Democrat",100,94,"Senate"
"Sen. Cory Booker","NJ",NA,"Democrat",100,99,"Senate"
"Sen. Robert Menendez","NJ",NA,"Democrat",100,97,"Senate"
"Sen. Martin Heinrich","NM",NA,"Democrat",100,99,"Senate"
"Sen. Ben Ray Luján","NM",NA,"Democrat",100,98,"Senate"
"Sen. Catherine Cortez Masto","NV",NA,"Democrat",100,100,"Senate"
"Sen. Jacky Rosen","NV",NA,"Democrat",100,92,"Senate"
"Sen. Kirsten E. Gillibrand","NY",NA,"Democrat",100,96,"Senate"
"Sen. Charles E. Schumer","NY",NA,"Democrat",92,95,"Senate"
"Sen. Sherrod Brown","OH",NA,"Democrat",100,99,"Senate"
"Sen. Rob Portman","OH",NA,"Republican",45,25,"Senate"
"Sen. James M. Inhofe","OK",NA,"Republican",18,12,"Senate"
"Sen. James Lankford","OK",NA,"Republican",8,10,"Senate"
"Sen. Jeff Merkley","OR",NA,"Democrat",100,99,"Senate"
"Sen. Ron Wyden","OR",NA,"Democrat",92,92,"Senate"
"Sen. Bob Casey","PA",NA,"Democrat",100,98,"Senate"
"Sen. Patrick J. Toomey","PA",NA,"Republican",10,10,"Senate"
"Sen. Jack Reed","RI",NA,"Democrat",100,98,"Senate"
"Sen. Sheldon Whitehouse","RI",NA,"Democrat",100,99,"Senate"
"Sen. Lindsey Graham","SC",NA,"Republican",45,24,"Senate"
"Sen. Tim Scott","SC",NA,"Republican",8,6,"Senate"
"Sen. Mike Rounds","SD",NA,"Republican",25,20,"Senate"
"Sen. John Thune","SD",NA,"Republican",25,15,"Senate"
"Sen. Marsha Blackburn","TN",NA,"Republican",8,6,"Senate"
"Sen. Bill Hagerty","TN",NA,"Republican",18,11,"Senate"
"Sen. John Cornyn","TX",NA,"Republican",25,15,"Senate"
"Sen. Ted Cruz","TX",NA,"Republican",17,10,"Senate"
"Sen. Mike Lee","UT",NA,"Republican",9,8,"Senate"
"Sen. Mitt Romney","UT",NA,"Republican",42,34,"Senate"
"Sen. Tim Kaine","VA",NA,"Democrat",100,93,"Senate"
"Sen. Mark Warner","VA",NA,"Democrat",100,90,"Senate"
"Sen. Patrick J. Leahy","VT",NA,"Democrat",100,98,"Senate"
"Sen. Bernard Sanders","VT",NA,"ID",91,98,"Senate"
"Sen. Maria Cantwell","WA",NA,"Democrat",100,94,"Senate"
"Sen. Patty Murray","WA",NA,"Democrat",100,95,"Senate"
"Sen. Tammy Baldwin","WI",NA,"Democrat",100,99,"Senate"
"Sen. Ron Johnson","WI",NA,"Republican",9,10,"Senate"
"Sen. Shelley Moore Capito","WV",NA,"Republican",42,30,"Senate"
"Sen. Joe Manchin III","WV",NA,"Democrat",82,87,"Senate"
"Sen. John Barrasso","WY",NA,"Republican",18,12,"Senate"
"Sen. Cynthia M. Lummis","WY",NA,"Republican",25,9,"Senate"
