"name","state","district","party","score","lifetime_score","chamber"
"Rep. Daniel Webster","FL",11,"Republican",8,12,"House"
"Rep. Gus Bilirakis","FL",12,"Republican",15,12,"House"
"Rep. Charlie Crist","FL",13,"Democrat",100,96,"House"
"Rep. Kathy Castor","FL",14,"Democrat",100,97,"House"
"Rep. Scott Franklin","FL",15,"Republican",0,0,"House"
"Rep. Vern Buchanan","FL",16,"Republican",0,15,"House"
"Rep. Greg Steube","FL",17,"Republican",0,8,"House"
"Rep. Brian Mast","FL",18,"Republican",15,23,"House"
"Rep. Byron Donalds","FL",19,"Republican",0,0,"House"
"Rep. Sheila Cherfilus-McCormick","FL",20,"Democrat",100,100,"House"
"Rep. Lois Frankel","FL",21,"Democrat",100,99,"House"
"Rep. Ted Deutch","FL",22,"Democrat",100,97,"House"
"Rep. Debbie Wasserman Schultz","FL",23,"Democrat",100,97,"House"
"Rep. Frederica Wilson","FL",24,"Democrat",100,99,"House"
"Rep. Mario Diaz-Balart","FL",25,"Republican",15,38,"House"
"Rep. Carlos Giménez","FL",26,"Republican",8,21,"House"
"Rep. Maria Elvira Salazar","FL",27,"Republican",31,27,"House"
"Rep. Buddy Carter","GA",1,"Republican",0,11,"House"
"Rep. Sanford D. Bishop Jr.","GA",2,"Democrat",100,94,"House"
"Rep. A. Drew Ferguson","GA",3,"Republican",0,13,"House"
"Rep. Hank Johnson","GA",4,"Democrat",100,98,"House"
"Rep. Nikema Williams","GA",5,"Democrat",100,100,"House"
"Rep. Lucy McBath","GA",6,"Democrat",100,99,"House"
"Rep. Carolyn Bourdeaux","GA",7,"Democrat",100,100,"House"
"Rep. Austin Scott","GA",8,"Republican",0,13,"House"
"Rep. Andrew Clyde","GA",9,"Republican",8,3,"House"
"Rep. Jody Hice","GA",10,"Republican",0,6,"House"
"Rep. Barry Loudermilk","GA",11,"Republican",0,9,"House"
"Rep. Rick Allen","GA",12,"Republican",0,9,"House"
"Rep. David Scott","GA",13,"Democrat",100,97,"House"
"Rep. Marjorie Taylor Greene","GA",14,"Republican",0,0,"House"
"Rep. Ed Case","HI",1,"Democrat",100,99,"House"
"Rep. Kaiali?i Kahele","HI",2,"Democrat",100,100,"House"
"Rep. Ashley Hinson","IA",1,"Republican",8,9,"House"
"Rep. Mariannette Miller-Meeks","IA",2,"Republican",8,9,"House"
"Rep. Cynthia Axne","IA",3,"Democrat",100,99,"House"
"Rep. Randy Feenstra","IA",4,"Republican",8,6,"House"
"Rep. Russ Fulcher","ID",1,"Republican",0,8,"House"
"Rep. Mike Simpson","ID",2,"Republican",8,21,"House"
"Rep. Bobby L. Rush","IL",1,"Democrat",100,97,"House"
"Rep. Robin Kelly","IL",2,"Democrat",100,99,"House"
"Rep. Marie Newman","IL",3,"Democrat",100,100,"House"
"Rep. Jesús García","IL",4,"Democrat",100,96,"House"
"Rep. Mike Quigley","IL",5,"Democrat",100,95,"House"
"Rep. Sean Casten","IL",6,"Democrat",100,100,"House"
"Rep. Danny K. Davis","IL",7,"Democrat",100,98,"House"
"Rep. Raja Krishnamoorthi","IL",8,"Democrat",100,98,"House"
"Rep. Jan Schakowsky","IL",9,"Democrat",100,99,"House"
"Rep. Brad Schneider","IL",10,"Democrat",100,94,"House"
"Rep. Bill Foster","IL",11,"Democrat",100,95,"House"
"Rep. Mike Bost","IL",12,"Republican",25,37,"House"
"Rep. Rodney Davis","IL",13,"Republican",31,38,"House"
"Rep. Lauren Underwood","IL",14,"Democrat",100,100,"House"
"Rep. Mary Miller","IL",15,"Republican",0,0,"House"
"Rep. Adam Kinzinger","IL",16,"Republican",60,36,"House"
"Rep. Cheri Bustos","IL",17,"Democrat",100,96,"House"
"Rep. Darin M. LaHood","IL",18,"Republican",0,18,"House"
"Rep. Frank Mrvan","IN",1,"Democrat",100,100,"House"
"Rep. Jackie Walorski","IN",2,"Republican",14,14,"House"
"Rep. Rudy Yakym","IN",2,"Republican",0,0,"House"
"Rep. Jim Banks","IN",3,"Republican",0,9,"House"
"Rep. James Baird","IN",4,"Republican",8,15,"House"
"Rep. Victoria Spartz","IN",5,"Republican",8,6,"House"
"Rep. Greg Pence","IN",6,"Republican",8,17,"House"
"Rep. André Carson","IN",7,"Democrat",100,98,"House"
"Rep. Larry Bucshon","IN",8,"Republican",8,19,"House"
"Rep. Trey Hollingsworth","IN",9,"Republican",8,14,"House"
"Rep. Tracey Mann","KS",1,"Republican",0,0,"House"
"Rep. Jake LaTurner","KS",2,"Republican",8,3,"House"
"Rep. Sharice Davids","KS",3,"Democrat",100,99,"House"
"Rep. Ron Estes","KS",4,"Republican",0,12,"House"
"Rep. James Comer","KY",1,"Republican",8,12,"House"
"Rep. Brett Guthrie","KY",2,"Republican",8,12,"House"
"Rep. John Yarmuth","KY",3,"Democrat",100,99,"House"
"Rep. Thomas Massie","KY",4,"Republican",8,15,"House"
"Rep. Harold Rogers","KY",5,"Republican",8,15,"House"
"Rep. Andy Barr","KY",6,"Republican",8,10,"House"
"Rep. Steve Scalise","LA",1,"Republican",8,9,"House"
"Rep. Troy Carter","LA",2,"Democrat",100,100,"House"
"Rep. Clay Higgins","LA",3,"Republican",0,9,"House"
"Rep. Mike Johnson","LA",4,"Republican",0,10,"House"
"Rep. Julia Letlow","LA",5,"Republican",8,4,"House"
"Rep. Garret Graves","LA",6,"Republican",8,15,"House"
"Rep. Richard E. Neal","MA",1,"Democrat",100,98,"House"
"Rep. Jim McGovern","MA",2,"Democrat",100,98,"House"
"Rep. Lori Trahan","MA",3,"Democrat",100,99,"House"
"Rep. Jake Auchincloss","MA",4,"Democrat",100,100,"House"
"Rep. Katherine Clark","MA",5,"Democrat",100,99,"House"
"Rep. Seth Moulton","MA",6,"Democrat",100,97,"House"
"Rep. Ayanna Pressley","MA",7,"Democrat",100,91,"House"
"Rep. Stephen F. Lynch","MA",8,"Democrat",100,99,"House"
"Rep. Bill Keating","MA",9,"Democrat",100,97,"House"
"Rep. Andy Harris","MD",1,"Republican",0,7,"House"
"Rep. C.A. Dutch Ruppersberger","MD",2,"Democrat",100,97,"House"
"Rep. John Sarbanes","MD",3,"Democrat",100,99,"House"
"Rep. Anthony Brown","MD",4,"Democrat",100,97,"House"
"Rep. Steny H. Hoyer","MD",5,"Democrat",100,97,"House"
"Rep. David Trone","MD",6,"Democrat",100,100,"House"
"Rep. Kweisi Mfume","MD",7,"Democrat",100,100,"House"
"Rep. Jamie Raskin","MD",8,"Democrat",100,98,"House"
"Rep. Chellie Pingree","ME",1,"Democrat",100,99,"House"
"Rep. Jared Golden","ME",2,"Democrat",100,92,"House"
"Rep. Jack Bergman","MI",1,"Republican",23,18,"House"
"Rep. Bill Huizenga","MI",2,"Republican",0,9,"House"
"Rep. Peter Meijer","MI",3,"Republican",31,21,"House"
"Rep. John Moolenaar","MI",4,"Republican",0,17,"House"
"Rep. Dan Kildee","MI",5,"Democrat",100,98,"House"
"Rep. Fred Upton","MI",6,"Republican",54,33,"House"
"Rep. Tim Walberg","MI",7,"Republican",8,13,"House"
"Rep. Elissa Slotkin","MI",8,"Democrat",100,100,"House"
"Rep. Andy Levin","MI",9,"Democrat",100,97,"House"
"Rep. Lisa McClain","MI",10,"Republican",15,6,"House"
"Rep. Haley Stevens","MI",11,"Democrat",100,100,"House"
"Rep. Debbie Dingell","MI",12,"Democrat",100,99,"House"
"Rep. Rashida Tlaib","MI",13,"Democrat",100,92,"House"
"Rep. Brenda Lawrence","MI",14,"Democrat",100,98,"House"
"Rep. Brad Finstad","MN",1,"Republican",0,0,"House"
