"congresspeople","community","score1","lifetime_score1","name"
"Henry Cuellar (D)",6,92,73,"Henry Cuellar"
"Sean Patrick Maloney (D)",6,100,97,"Sean Patrick Maloney"
"Susan Wild (D)",6,100,99,"Susan Wild"
"Matt Cartwright (D)",6,100,97,"Matt Cartwright"
"Chris Pappas (D)",6,100,100,"Chris Pappas"
"Tom Malinowski (D)",6,100,100,"Tom Malinowski"
"Dan Kildee (D)",6,100,98,"Dan Kildee"
"Angie Craig (D)",6,100,100,"Angie Craig"
"Jared Golden (D)",6,100,92,"Jared Golden"
"Elissa Slotkin (D)",6,100,100,"Elissa Slotkin"
"Cindy Axne (D)",6,100,99,"Cindy Axne"
"Vicente Gonzalez (D)",6,100,95,"Vicente Gonzalez"
"Elaine Luria (D)",6,100,99,"Elaine Luria"
"Abigail Spanberger (D)",6,100,96,"Abigail Spanberger"
"Carlos Gimenez (R)",6,8,21,"Carlos Gimenez"
"Mike Doyle (D)",6,100,98,"Mike Doyle"
"Brad Finstad (R)",6,0,0,"Brad Finstad"
"Don Bacon (R)",6,38,29,"Don Bacon"
"Katie Porter (D)",6,100,100,"Katie Porter"
"Julia Brownley (D)",6,100,96,"Julia Brownley"
"Stephanie Murphy (D)",6,92,87,"Stephanie Murphy"
"Haley Stevens (D)",6,100,100,"Haley Stevens"
"Jahana Hayes (D)",6,100,100,"Jahana Hayes"
"Jaime Herrera Beutler (R)",6,31,21,"Jaime Herrera Beutler"
"Tony Gonzales (R)",6,8,12,"Tony Gonzales"
"Nancy Mace (R)",6,15,6,"Nancy Mace"
"Susie Lee (D)",6,100,100,"Susie Lee"
"Mayra Flores (R)",6,0,0,"Mayra Flores"
"Yvette Herrell (R)",6,8,3,"Yvette Herrell"
"Steven Horsford (D)",6,100,99,"Steven Horsford"
"Ken Calvert (R)",6,8,15,"Ken Calvert"
"Mike Garcia (R)",6,23,17,"Mike Garcia"
"Mariannette Miller-Meeks (R)",6,8,9,"Mariannette Miller-Meeks"
"Mike Simpson (R)",6,8,21,"Mike Simpson"
"David Valadao (R)",6,23,29,"David Valadao"
"David Schweikert (R)",6,0,7,"David Schweikert"
"Steve Chabot (R)",6,15,9,"Steve Chabot"
"Julia Letlow (R)",6,8,4,"Julia Letlow"
"Frank Mrvan Jr (D)",6,100,100,"Frank Mrvan Jr"
"Nicole Malliotakis (R)",6,31,29,"Nicole Malliotakis"
"Pat Ryan (D)",6,100,100,"Pat Ryan"
"Sharice Davids (D)",6,100,99,"Sharice Davids"
"Jennifer Wexton (D)",6,100,100,"Jennifer Wexton"
"Dina Titus (D)",6,100,98,"Dina Titus"
"Ann Kuster (D)",6,100,95,"Ann Kuster"
"Mike Levin (D)",6,100,100,"Mike Levin"
"Michelle Steel (R)",6,0,3,"Michelle Steel"
"Maria Salazar (R)",6,31,27,"Maria Salazar"
"Andy Harris (R)",6,0,7,"Andy Harris"
"Tom McClintock (R)",6,0,7,"Tom McClintock"
"Mark Amodei (R)",6,8,18,"Mark Amodei"
"Michael Guest (R)",6,8,12,"Michael Guest"
"Beth Van Duyne (R)",6,0,0,"Beth Van Duyne"
"Young Kim (R)",6,15,18,"Young Kim"
"Bob Gibbs (R)",6,15,14,"Bob Gibbs"
"Daniel Webster (R)",6,8,12,"Daniel Webster"
"Van Taylor (R)",6,0,10,"Van Taylor"
"Carolyn Bourdeaux (D)",6,100,100,"Carolyn Bourdeaux"
"Jody Hice (R)",7,0,6,"Jody Hice"
"Bernie Sanders (D)",8,91,98,"Bernie Sanders"
"Bernie Sanders (I)",9,91,98,"Bernie Sanders"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
