"congresspeople","community","score1","lifetime_score1","name"
"Roger Wicker (R)",4,33,18,"Roger Wicker"
"Gus Bilirakis (R)",4,15,12,"Gus Bilirakis"
"Carlos Gimenez (R)",4,8,21,"Carlos Gimenez"
"Matt Rosendale (R)",4,0,0,"Matt Rosendale"
"Ben Cline (R)",4,8,11,"Ben Cline"
"Richard Burr (R)",4,44,17,"Richard Burr"
"Mike Bost (R)",4,25,37,"Mike Bost"
"Peter Meijer (R)",4,31,21,"Peter Meijer"
"Victoria Spartz (R)",4,8,6,"Victoria Spartz"
"Greg Pence (R)",4,8,17,"Greg Pence"
"Jim Jordan (R)",4,0,5,"Jim Jordan"
"Michael Cloud (R)",4,0,8,"Michael Cloud"
"Ralph Norman (R)",4,0,5,"Ralph Norman"
"Scott Desjarlais (R)",4,8,9,"Scott Desjarlais"
"Jeff Duncan (R)",4,0,6,"Jeff Duncan"
"Mike Garcia (R)",4,23,17,"Mike Garcia"
"Mariannette Miller-Meeks (R)",4,8,9,"Mariannette Miller-Meeks"
"Jeff Van Drew (R)",4,23,61,"Jeff Van Drew"
"Sam Graves (R)",4,8,18,"Sam Graves"
"Rick Scott (R)",4,0,9,"Rick Scott"
"John Rutherford (R)",4,9,20,"John Rutherford"
"Chuck Fleischmann (R)",4,0,12,"Chuck Fleischmann"
"Richard W Allen (R)",4,0,9,"Richard W Allen"
"Mike Johnson (R)",4,0,10,"Mike Johnson"
"Pete Stauber (R)",4,15,37,"Pete Stauber"
"Jerry Moran (R)",4,36,17,"Jerry Moran"
"Brian Mast (R)",4,15,23,"Brian Mast"
"John Cornyn (R)",4,25,15,"John Cornyn"
"Elise Stefanik (R)",4,8,35,"Elise Stefanik"
"John Carter (R)",4,8,11,"John Carter"
"Mike Kelly (R)",4,8,21,"Mike Kelly"
"Randy Weber (R)",4,0,9,"Randy Weber"
"Lance Gooden (R)",4,0,11,"Lance Gooden"
"Brett Guthrie (R)",4,8,12,"Brett Guthrie"
"Troy Balderson (R)",4,15,24,"Troy Balderson"
"Kevin Brady (R)",4,0,9,"Kevin Brady"
"Richard Hudson (R)",4,15,10,"Richard Hudson"
"Adrian Smith (R)",4,0,9,"Adrian Smith"
"Tom Tiffany (R)",4,8,8,"Tom Tiffany"
"Bill Johnson (R)",4,31,22,"Bill Johnson"
"Bob Latta (R)",4,8,9,"Bob Latta"
"James Lankford (R)",4,8,10,"James Lankford"
"Jim Baird (R)",4,8,15,"Jim Baird"
"Roger Marshall (R)",4,17,15,"Roger Marshall"
"Jake Laturner (R)",4,8,3,"Jake Laturner"
"Marsha Blackburn (R)",4,8,6,"Marsha Blackburn"
"Scott Fitzgerald (R)",4,8,3,"Scott Fitzgerald"
"Guy Reschenthaler (R)",4,15,24,"Guy Reschenthaler"
"Patrick Fallon (R)",4,0,0,"Patrick Fallon"
"Tim Burchett (R)",4,8,14,"Tim Burchett"
"Kevin McCarthy (R)",4,8,12,"Kevin McCarthy"
"Blaine Luetkemeyer (R)",4,8,11,"Blaine Luetkemeyer"
"John Curtis (R)",4,8,16,"John Curtis"
"Trey Hollingsworth (R)",4,8,14,"Trey Hollingsworth"
"Mayra Flores (R)",4,0,0,"Mayra Flores"
"Troy Nehls (R)",4,0,0,"Troy Nehls"
"Tony Gonzales (R)",4,8,12,"Tony Gonzales"
"Dan Sullivan (R)",4,27,21,"Dan Sullivan"
"Mike Flood (R)",4,0,0,"Mike Flood"
"Rob Portman (R)",4,45,25,"Rob Portman"
"Rudy Yakym (R)",4,0,0,"Rudy Yakym"
"Joe Sempolinski (R)",4,0,0,"Joe Sempolinski"
"Steven Daines (R)",4,25,17,"Steven Daines"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
