"congresspeople","community","score1","lifetime_score1","name"
"Nydia Velazquez (D)",1,100,99,"Nydia Velazquez"
"Frank Mrvan Jr (D)",1,100,100,"Frank Mrvan Jr"
"Juan Vargas (D)",1,100,99,"Juan Vargas"
"Joseph D Morelle (D)",1,100,100,"Joseph D Morelle"
"Jim Cooper (D)",1,100,84,"Jim Cooper"
"Lou Correa (D)",1,100,91,"Lou Correa"
"Adam Smith (D)",1,100,96,"Adam Smith"
"G K Butterfield (D)",1,100,98,"G K Butterfield"
"Jack Reed (D)",1,100,98,"Jack Reed"
"John Sarbanes (D)",1,100,99,"John Sarbanes"
"Gwen Moore (D)",1,100,97,"Gwen Moore"
"Grace Napolitano (D)",1,100,100,"Grace Napolitano"
"Jim Langevin (D)",1,100,98,"Jim Langevin"
"Glenn Thompson (R)",1,8,15,"Glenn Thompson"
"Drew Ferguson (R)",1,0,13,"Drew Ferguson"
"Sheila Cherfilus-McCormick (D)",1,100,100,"Sheila Cherfilus-McCormick"
"Joe Wilson (R)",1,8,11,"Joe Wilson"
"Tom Rice (R)",1,8,11,"Tom Rice"
"Jackie Speier (D)",1,100,96,"Jackie Speier"
"Emanuel Cleaver (D)",1,100,98,"Emanuel Cleaver"
"Alan Lowenthal (D)",1,100,98,"Alan Lowenthal"
"Val Demings (D)",2,100,98,"Val Demings"
"Nancy Pelosi (D)",2,100,97,"Nancy Pelosi"
"Ted Lieu (D)",2,100,97,"Ted Lieu"
"Carolyn Bourdeaux (D)",2,100,100,"Carolyn Bourdeaux"
"Josh Harder (D)",2,100,99,"Josh Harder"
"Patty Murray (D)",2,100,95,"Patty Murray"
"Ami Bera (D)",2,100,91,"Ami Bera"
"Sean Casten (D)",2,100,100,"Sean Casten"
"Catherine Cortez Masto (D)",2,100,100,"Catherine Cortez Masto"
"Carolyn Maloney (D)",2,100,97,"Carolyn Maloney"
"Jason Crow (D)",2,100,100,"Jason Crow"
"Jeff Merkley (D)",2,100,99,"Jeff Merkley"
"Deborah Ross (D)",2,100,100,"Deborah Ross"
"Susie Lee (D)",2,100,100,"Susie Lee"
"Robin Kelly (D)",2,100,99,"Robin Kelly"
"Abigail Spanberger (D)",2,100,96,"Abigail Spanberger"
